tk,buy_hold_sharpe,buy_hold_dd,buy_hold_cagr,trend_sharpe,trend_dd,trend_cagr,voltgt_sharpe,voltgt_dd,voltgt_cagr,trend_voltgt_sharpe,trend_voltgt_dd,trend_voltgt_cagr
EXR,0.7767945203798744,-0.271243907607544,0.14855130129290206,0.9826255393656269,-0.13965990126165684,0.14875680309555106,0.7960414062840717,-0.17529023805247812,0.1021645718903128,0.9593200222507389,-0.0884718906627393,0.09949022776622929
F,-0.0582746511625317,-0.4260089686098638,-0.03865112557792583,-0.976443016615384,-0.29236340960052776,-0.05937639743530321,-0.2966753392098294,-0.38073848189957815,-0.050438185242070666,-0.9630394059429701,-0.22287702168639167,-0.04681214174619086
FAST,0.159983212216533,-0.33245581045506045,0.009880366026038923,-0.4649883523163527,-0.26806881838247487,-0.05052505288391285,-0.04338885150985191,-0.231804809686037,-0.016270024384422488,-0.6629929957645707,-0.23422788422202512,-0.04828513750079111
FB,1.3115313791255498,-0.22060252672497627,0.4464044030994285,0.9991694001344561,-0.2206025267249756,0.24473581678570677,1.234322399871648,-0.10854110527179939,0.20133897850462423,0.9567028242751489,-0.11472815403917191,0.1172632705098966
FBHS,0.6432496639713424,-0.2312356261760382,0.13556444687055058,0.04883803599379237,-0.22927716079989668,-0.006063026725360743,0.5129511695273808,-0.15650063352278532,0.06134222425620939,-0.004147232806983538,-0.16614173224178197,-0.005782965105355697
FCX,0.012544011785778257,-0.904200819672131,-0.12925027805503697,-0.11866501550030653,-0.4427850084466657,-0.055414265594606826,-0.1877100358765271,-0.47561967233176294,-0.03487674290571585,-0.2774899815944261,-0.17868763745805383,-0.024271335902432578
FDX,0.9241022140137318,-0.3340901719104763,0.18770540579687656,0.9285123837279425,-0.13000014220150424,0.13187647912448996,0.8142523722983123,-0.20279136874151604,0.10829333599614221,0.7904048583610475,-0.10101766769751164,0.08511096147857189
FE,-0.14070841586666438,-0.3957081545064396,-0.051989556083247845,-0.5853402406954713,-0.4174588009708098,-0.06523773605759231,-0.016954830944876213,-0.24799695341373196,-0.012410815817717746,-0.41485409152887437,-0.25309509609644243,-0.030405634937486492
FFIV,0.35274445285336425,-0.3563762859891949,0.06091375462786974,0.15786478043179833,-0.28869445383674364,0.012419538934504093,0.11176096118291912,-0.21881722958754346,0.005054628523097904,-0.23939789481418217,-0.25228324959015536,-0.02877524397757314
FIS,1.0835049187301635,-0.23755102040816278,0.2083558751265655,0.6727553920578447,-0.15236518254155662,0.10012196133621232,0.907855985615872,-0.1666000668952522,0.12199841033348102,0.497904111364631,-0.12379481457217556,0.05414418694583012
FISV,1.501732103860471,-0.1277497295348009,0.26316995705635216,1.0481958763288728,-0.12611353557012084,0.15418612363245998,1.286595352968575,-0.12121789663126814,0.17037785986241882,0.8523169594532118,-0.12122630017327618,0.09560308917120008
FITB,0.69280812871046,-0.4040188114578891,0.14278909180157884,0.2508169692142556,-0.33790958670949156,0.025771449439571992,0.6049534373145383,-0.24699806009299563,0.07603358802192473,0.2609377228493236,-0.22317672399420452,0.02015822141996826
FL,0.3623406837190021,-0.6308080808080814,0.06627695440031212,0.434268757450948,-0.3123720367147047,0.06196391334952245,0.4830847580632961,-0.3476898798709881,0.06727085685167133,0.5886589395819134,-0.15426547504047405,0.05739723404243646
FLIR,0.6273750574478618,-0.3013698630136976,0.12824411536652724,0.4357122716118818,-0.30421335976542974,0.05609892481912615,0.43138694689584955,-0.22453845521101135,0.056696944489756484,0.22287536673727004,-0.2623294598544892,0.017497210781243222
FLR,0.08012708424120726,-0.5549312612074122,-0.02190934147207524,-0.7812247654019581,-0.4699300681941181,-0.10759607637895385,0.05540660829898137,-0.49171493503656416,-0.005087944916810305,-0.9963649411291529,-0.3631788622600456,-0.07899647552709543
FLS,-0.03365173784646524,-0.56591048436542,-0.046067285376777956,-0.5015170563530548,-0.363042369458524,-0.07274059039700986,-0.3610812977299465,-0.4475837110363742,-0.06443171016012772,-0.640121203701768,-0.2337641141716187,-0.04645411384886855
FMC,0.38980456676681696,-0.6037304452466908,0.07029224350283192,0.6180147332860474,-0.2954143949048569,0.0956818754131612,0.17533986029073165,-0.41885701277499054,0.015167111674510014,0.4028317685989789,-0.1954129907229798,0.03898232177912764
FOX,0.3262620894483552,-0.3567142285638111,0.049956972470491356,-0.7897733821770462,-0.4396293453812342,-0.08775025865490238,-0.1313002304084444,-0.31292550108914685,-0.028472612826821453,-1.0502803156156135,-0.34970582870881106,-0.07767381454506861
FOXA,0.3371598721865063,-0.39579594975647303,0.05327150250150381,-0.6745353512021511,-0.4185546923074166,-0.08307862363752827,-0.08813894229040607,-0.316480891581731,-0.02290550298869687,-0.9890907269977793,-0.34042523267736224,-0.07695535925244035
FRT,0.12436415518277458,-0.3464044614029943,0.006568279030394475,0.3599438899777812,-0.1910480923620982,0.03338801114355383,0.13401097105384385,-0.29032772984565913,0.009016250185279073,0.3836702328468334,-0.14707058927271344,0.029226376990614922
FTI,-0.13922184233412327,-0.6415302267002525,-0.08929961887254967,-0.3144783651838847,-0.3004566010542671,-0.04404697216755393,-0.1460648240516403,-0.3507613246179332,-0.029024165898420717,-0.26976856707306895,-0.17847999120519653,-0.018905375836597793
GD,1.412615604143131,-0.18984864300626347,0.26371034558765905,1.0305085770525027,-0.17541949688919145,0.14428563431952268,1.2192741210914473,-0.13827830067594293,0.16765741367876585,0.9364269752158869,-0.11903351040256083,0.10342834129068113
GE,-0.3115691314517643,-0.5472213786820521,-0.07495308997427008,-0.40738670176445013,-0.23316051116929026,-0.04424179611658219,-0.44086715344188276,-0.36614220038205425,-0.06576343901159598,-0.6431997669017766,-0.24679892690510707,-0.051866457923418374
GGP,0.18868012461210096,-0.4053800437910531,0.017574295377577265,-0.01072532955359846,-0.32443874539680406,-0.006262037532042242,0.21150006739552968,-0.2954202840369,0.020003928579504837,0.14251834346629394,-0.2364276766543466,0.00817974354609663
GILD,0.6448468274009326,-0.47532935111692975,0.15164005871265052,0.05464550699799045,-0.40022888752841923,-0.007890022712020328,0.4295104398129627,-0.3148203182832783,0.05266539890095867,-0.03733339258078726,-0.23741247771791407,-0.007557188482103849
GIS,0.38658209774231583,-0.3102973568281947,0.05116407796308131,-0.4979517041815767,-0.2882213464444898,-0.05705241204021683,0.2630700588134099,-0.23883772746056053,0.02622709092042852,-0.5273775147670247,-0.25312803487121316,-0.049713119317100984
GLW,0.8843596837361778,-0.3611999999999995,0.19449509116173203,0.6548436326287029,-0.27138441409386527,0.0966918049695471,0.649428491381248,-0.25653436394351625,0.0898738732161406,0.5038352071186338,-0.2172749466328323,0.055005510566094706
GM,0.44823004141916317,-0.3522754635203472,0.08224383255618162,-0.278070629768262,-0.3535637531088097,-0.04685040332663237,0.1909430204513678,-0.29140652071004636,0.0168077420645818,-0.36620256554062675,-0.27670235400248333,-0.032162690834597996
GOOG,0.8401593923120007,-0.17368474030331527,0.1770370596530233,0.6472236815000079,-0.1482740053417516,0.09855304507365359,0.9982535063347131,-0.13957678713516053,0.14049463227811732,0.7256213201981137,-0.1004609842794364,0.07676083865221361
